0;Mitologia;Jan Parandowski;Popularnonaukowa;4;F2
1;Odyseja;Homer;Klasyka;4;G3
2;Pamiêtniki;Jan Chryzostom P.;Biografia;4;G2
3;Kazania Sejmowe;Piotr Skarga;Historia;3;S11
4;Zbrodnia i kara;Fiodor Dostojewski;Literatura piêkna;3;V2
6;Madame;Antoni Libera;Literatura piêkna;4;J12
7;Chmury;Arystofanes;Utwór dramatyczny;3;C11
8;Lilla Weneda;Juliusz S³owacki;Utwór dramatyczny;3;A2
9;Król Edyp;Sofokles;Utwór dramatyczny;4;H2
10;Granica;Zofia Na³kowska;Literatura piêkna;4;H4
11;Kartoteka;Tadeusz Ró¿ewicz;Utwór dramatyczny;4;G4
